englishName,monoNameIndex,internalName,nameTag,pickupSize,nameStrId,descriptionStrId,categoryStrId,locationStrId,unitStrId,sizeStrId,isRare,ignoresHole,volume,isCollectible,pickupVolumePenalty,pickupVolume
Red Sock,10,SOCKS01_B,,116,OT_OBJ_0011,OT_CMM_0011,OT_CTG_013,OT_MPN_034,UI_SYS_063,UI_NIC_010,FALSE,FALSE,0.0000833377,TRUE,0.8,0.00006667016
Blue Sock,11,SOCKS02_B,,127,OT_OBJ_0012,OT_CMM_0012,OT_CTG_013,OT_MPN_034,UI_SYS_063,UI_NIC_010,FALSE,FALSE,0.0001077101,TRUE,0.8,0.00008616808
Girly Cellphone,12,KETAI_B,,116,OT_OBJ_0013,OT_CMM_0013,OT_CTG_029,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000835516,TRUE,0.8,0.00006684128
Eraser,13,ERASER01_A,,81,OT_OBJ_0014,OT_CMM_0014,OT_CTG_012,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000288,TRUE,0.8,0.00002304
Hard Eraser,14,ERASER02_A,,74,OT_OBJ_0015,OT_CMM_0015,OT_CTG_012,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.00002125,TRUE,0.8,0.000017
Cup and Ball,15,KENDAMA_B,,250,OT_OBJ_0016,OT_CMM_0016,OT_CTG_017,OT_MPN_037,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0008199504,TRUE,0.8,0.00065596032
Fried Shrimp,16,KOZARA01_B,,149,OT_OBJ_0017,OT_CMM_0017,OT_CTG_004,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0001736099,TRUE,0.8,0.00013888792
Spoon,17,SPOON_B,,81,OT_OBJ_0018,OT_CMM_0018,OT_CTG_008,OT_MPN_036,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0000288051,TRUE,0.8,0.00002304408
Fork,18,FORK_B,,76,OT_OBJ_0019,OT_CMM_0019,OT_CTG_008,OT_MPN_036,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0000230862,TRUE,0.8,0.00001846896
Baseball,19,SBALL_B,,199,OT_OBJ_0020,OT_CMM_0020,OT_CTG_015,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0004148926,TRUE,0.8,0.00033191408
Dustpan,20,DUSTPAN_C,,342,OT_OBJ_0021,OT_CMM_0021,OT_CTG_009,OT_MPN_039,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.002100036,TRUE,0.8,0.0016800288
Camera,21,DCAME_B,,,OT_OBJ_0022,OT_CMM_0022,,,UI_SYS_059,,FALSE,FALSE,,FALSE,0.8,0
Light Bulb,22,DENQ_B,,208,OT_OBJ_0023,OT_CMM_0023,OT_CTG_035,OT_MPN_033,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0004743181,TRUE,0.8,0.00037945448
Calculator,23,DENTAKU_B,,140,OT_OBJ_0024,OT_CMM_0024,OT_CTG_023,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0001439999,TRUE,0.8,0.00011519992
Telephone Book,24,PBOOK_C,,506,OT_OBJ_0025,OT_CMM_0025,OT_CTG_011,OT_MPN_043,UI_SYS_069,UI_NIC_012,FALSE,FALSE,0.006814502,TRUE,0.8,0.0054516016
Mousetrap,25,RATTRAP_B,,195,OT_OBJ_0026,OT_CMM_0026,OT_CTG_040,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0003910731,TRUE,0.8,0.00031285848
New Year's Cards,26,NENGA_B,,294,OT_OBJ_0027,OT_CMM_0027,OT_CTG_025,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0013377,TRUE,0.8,0.00107016
Welcome Mat,27,SHOPMAT_C,,551,OT_OBJ_0028,OT_CMM_0028,OT_CTG_056,OT_MPN_041,UI_SYS_066,UI_NIC_012,FALSE,FALSE,0.008799998,TRUE,0.8,0.0070399984
Cinder Block,28,CONCRE_C,,678,OT_OBJ_0029,OT_CMM_0029,OT_CTG_058,OT_MPN_034,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.01632,TRUE,0.1,0.001632
Wooden Bench,29,BENCH_D,Chair,1921,OT_OBJ_0030,OT_CMM_0030,OT_CTG_038,OT_MPN_043,UI_SYS_057,UI_NIC_014,FALSE,FALSE,0.3715367,TRUE,0.8,0.29722936
Barber's Pole,30,BARBER_D,,1725,OT_OBJ_0031,OT_CMM_0031,OT_CTG_062,OT_MPN_041,UI_SYS_059,UI_NIC_014,FALSE,FALSE,0.2692262,TRUE,0.8,0.21538096
Bamboo Broom,31,HOUKI_C,,908,OT_OBJ_0032,OT_CMM_0032,OT_CTG_009,OT_MPN_043,UI_SYS_058,UI_NIC_013,FALSE,FALSE,0.03920113,TRUE,0.8,0.031360904
Store Dustpan,32,DUSTPAN02_C,,802,OT_OBJ_0033,OT_CMM_0033,OT_CTG_009,OT_MPN_043,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.02708897,TRUE,0.8,0.021671176
Home Mailbox,33,HOMEPOST_C,,665,OT_OBJ_0034,OT_CMM_0034,OT_CTG_025,OT_MPN_040,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.0154,TRUE,0.8,0.01232
Iron,34,IRON_C,,438,OT_OBJ_0035,OT_CMM_0035,OT_CTG_023,OT_MPN_033,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.004417564,TRUE,0.8,0.0035340512
Lottery,35,HUKUBIKI_C,,681,OT_OBJ_0036,OT_CMM_0036,OT_CTG_045,OT_MPN_041,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.01660675,TRUE,0.8,0.0132854
Old Newspapers,36,OLDNEWS01_C,,709,OT_OBJ_0037,OT_CMM_0037,OT_CTG_009,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.018711,TRUE,0.8,0.0149688
Old Comics,37,OLDNEWS02_C,,627,OT_OBJ_0038,OT_CMM_0038,OT_CTG_009,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.01296578,TRUE,0.8,0.010372624
Dogfood Bowl,38,DOGDISH_B,,304,OT_OBJ_0039,OT_CMM_0039,OT_CTG_008,OT_MPN_034,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.001471432,TRUE,0.8,0.0011771456
Flowerpots,39,PLANTPOT01_C,,942,OT_OBJ_0040,OT_CMM_0040,OT_CTG_027,OT_MPN_034,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.043904,TRUE,0.4,0.0175616
Ping-Pong Ball,40,PBALL_A,,94,OT_OBJ_0041,OT_CMM_0041,OT_CTG_015,OT_MPN_034,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000448,TRUE,0.8,0.00003584
Turtle Egg,41,KAMEEGG_A,,890,OT_OBJ_0042,OT_CMM_0042,,,UI_SYS_057,,FALSE,FALSE,0.03691406,FALSE,0.8,0.029531248
Film,42,FILM_A,,95,OT_OBJ_0043,OT_CMM_0043,OT_CTG_021,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000453152,TRUE,0.8,0.00003625216
Mosquito Zapper,43,BMATKI_B,,168,OT_OBJ_0044,OT_CMM_0044,OT_CTG_031,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0002505675,TRUE,0.8,0.000200454
Zapper Refill,44,BMAT_A,,30,OT_OBJ_0045,OT_CMM_0045,OT_CTG_031,OT_MPN_033,UI_SYS_057,UI_NIC_009,FALSE,FALSE,0.0000014577,TRUE,0.8,0.00000116616
Eyedrops,45,EYEDROP_A,,73,OT_OBJ_0046,OT_CMM_0046,OT_CTG_021,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.000020776,TRUE,0.8,0.0000166208
PET Bottle,46,PBOTTLE01_C,,341,OT_OBJ_0047,OT_CMM_0047,OT_CTG_019,OT_MPN_040,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.002079,TRUE,0.5,0.0010395
Compass,47,COMPASS_A,,71,OT_OBJ_0048,OT_CMM_0048,OT_CTG_033,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000190394,TRUE,0.8,0.00001523152
Milk Carton,48,MINIPACK01_B,,176,OT_OBJ_0049,OT_CMM_0049,OT_CTG_007,OT_MPN_036,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0002864159,TRUE,0.8,0.00022913272
Glasses,49,GLASS01_B,,93,OT_OBJ_0050,OT_CMM_0050,OT_CTG_013,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000423741,TRUE,0.8,0.00003389928
Diamond Ring,50,RING01_A,,73,OT_OBJ_0051,OT_CMM_0051,OT_CTG_034,OT_MPN_033,UI_SYS_057,UI_NIC_010,TRUE,FALSE,0.0000210942,TRUE,0.6,0.00001265652
Sapphire Ring,51,RING02_A,,73,OT_OBJ_0052,OT_CMM_0052,OT_CTG_034,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000210942,TRUE,0.6,0.00001265652
Ruby Ring,52,RING03_A,,73,OT_OBJ_0053,OT_CMM_0053,OT_CTG_034,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000210942,TRUE,0.6,0.00001265652
Emerald Ring,53,RING04_A,,73,OT_OBJ_0054,OT_CMM_0054,OT_CTG_034,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000210942,TRUE,0.6,0.00001265652
Clapper Board,54,KACHIN_B,,261,OT_OBJ_0055,OT_CMM_0055,OT_CTG_043,OT_MPN_042,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0009408019,TRUE,0.8,0.00075264152
Ladle,55,OTAMA_B,Red,283,OT_OBJ_0056,OT_CMM_0056,OT_CTG_008,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.001194368,TRUE,0.8,0.0009554944
Oden,56,ODEN_B,,207,OT_OBJ_0057,OT_CMM_0057,OT_CTG_006,OT_MPN_040,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.0004667877,TRUE,0.8,0.00037343016
Toast,57,PAN01_B,,190,OT_OBJ_0058,OT_CMM_0058,OT_CTG_004,OT_MPN_040,UI_SYS_066,UI_NIC_010,FALSE,FALSE,0.0003600003,TRUE,0.5,0.00018000015
Bread Loaf,58,PAN02_B,,227,OT_OBJ_0059,OT_CMM_0059,OT_CTG_004,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0006159825,TRUE,0.8,0.000492786
Jumboman Mask,59,OMEN01_B,,440,OT_OBJ_0060,OT_CMM_0060,OT_CTG_048,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.004485314,TRUE,0.5,0.002242657
Burglar Mask,60,OMEN02_B,,263,OT_OBJ_0061,OT_CMM_0061,OT_CTG_048,OT_MPN_043,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0009556526,TRUE,0.5,0.0004778263
Fox Mask,61,OMEN03_B,,392,OT_OBJ_0062,OT_CMM_0062,OT_CTG_045,OT_MPN_043,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0031752,TRUE,0.5,0.0015876
Noh Mask,62,OMEN04_B,,246,OT_OBJ_0063,OT_CMM_0063,OT_CTG_044,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0007840001,TRUE,0.5,0.00039200005
Hyottoko Mask,63,OMEN05_B,,277,OT_OBJ_0064,OT_CMM_0064,OT_CTG_045,OT_MPN_043,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.001124165,TRUE,0.5,0.0005620825
Red Oni Mask,64,OMEN06_B,,274,OT_OBJ_0065,OT_CMM_0065,OT_CTG_047,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.001083159,TRUE,0.5,0.0005415795
Ethnic Mask,65,OMEN07_B,,348,OT_OBJ_0066,OT_CMM_0066,OT_CTG_045,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.002216139,TRUE,0.5,0.0011080695
Chestnut,66,KURI_A,,42,OT_OBJ_0067,OT_CMM_0067,OT_CTG_005,OT_MPN_033,UI_SYS_057,UI_NIC_009,FALSE,FALSE,0.0000040052,TRUE,0.8,0.00000320416
Police ID,67,POLITECHO_B,,201,OT_OBJ_0068,OT_CMM_0068,OT_CTG_032,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0004260377,TRUE,0.5,0.00021301885
Blackboard Eraser,68,KOKUBAN01_B,,162,OT_OBJ_0069,OT_CMM_0069,OT_CTG_049,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.000225914,TRUE,0.5,0.000112957
Wooden Gavel,69,KOUGU01_B,,252,OT_OBJ_0070,OT_CMM_0070,OT_CTG_030,OT_MPN_038,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.0008399999,TRUE,0.5,0.00041999995
Hammer,70,KOUGU02_B,,252,OT_OBJ_0071,OT_CMM_0071,OT_CTG_030,OT_MPN_038,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.0008476524,TRUE,0.5,0.0004238262
Wrench,71,KOUGU03_B,,169,OT_OBJ_0072,OT_CMM_0072,OT_CTG_030,OT_MPN_038,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0002548,TRUE,0.5,0.0001274
Philips Head,72,KOUGU04_B,,144,OT_OBJ_0073,OT_CMM_0073,OT_CTG_030,OT_MPN_038,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0001575,TRUE,0.5,0.00007875
Screwdriver,73,KOUGU05_B,,144,OT_OBJ_0074,OT_CMM_0074,OT_CTG_030,OT_MPN_038,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0001575,TRUE,0.5,0.00007875
Shuriken,74,SHURIKEN_B,,122,OT_OBJ_0075,OT_CMM_0075,OT_CTG_039,OT_MPN_040,UI_SYS_066,UI_NIC_010,FALSE,FALSE,0.00009604,TRUE,0.5,0.00004802
Tuna Sushi,75,SUSHI01_A,,98,OT_OBJ_0076,OT_CMM_0076,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000495,TRUE,0.5,0.00002475
Squid Sushi,76,SUSHI02_A,,98,OT_OBJ_0077,OT_CMM_0077,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000495,TRUE,0.5,0.00002475
Toro Sushi,77,SUSHI03_A,,98,OT_OBJ_0078,OT_CMM_0078,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,TRUE,FALSE,0.0000495,TRUE,0.5,0.00002475
Egg Sushi,78,SUSHI04_A,,98,OT_OBJ_0079,OT_CMM_0079,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000495,TRUE,0.5,0.00002475
Octopus Sushi,79,SUSHI05_A,,98,OT_OBJ_0080,OT_CMM_0080,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000495,TRUE,0.5,0.00002475
Shrimp Sushi,80,SUSHI06_A,,94,OT_OBJ_0081,OT_CMM_0081,OT_CTG_006,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.000043575,TRUE,0.5,0.0000217875
Calligraphy,81,SHUZI02_B,,485,OT_OBJ_0082,OT_CMM_0082,OT_CTG_012,OT_MPN_042,UI_SYS_066,UI_NIC_012,FALSE,FALSE,0.005999999,TRUE,0.16,0.00095999984
Paperweight,82,SHUZI03_A,,88,OT_OBJ_0083,OT_CMM_0083,OT_CTG_012,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000369096,TRUE,0.5,0.0000184548
India Ink,83,SHUZI04_B,,156,OT_OBJ_0084,OT_CMM_0084,OT_CTG_012,OT_MPN_033,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.00019894,TRUE,0.5,0.00009947
Inkstone,84,SHUZI01_B,,200,OT_OBJ_0085,OT_CMM_0085,OT_CTG_012,OT_MPN_040,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0004199999,TRUE,0.5,0.00020999995
Horsetail,85,TUKUSHI_A,,53,OT_OBJ_0086,OT_CMM_0086,OT_CTG_064,OT_MPN_040,UI_SYS_058,UI_NIC_010,FALSE,FALSE,0.0000080579,TRUE,0.8,0.00000644632
Microphone,86,MIKE_B,,254,OT_OBJ_0087,OT_CMM_0087,OT_CTG_029,OT_MPN_034,UI_SYS_058,UI_NIC_011,FALSE,FALSE,0.0008647019,TRUE,0.8,0.00069176152
Quail Egg,87,EGG02_A,,80,OT_OBJ_0088,OT_CMM_0088,,,UI_SYS_057,,FALSE,FALSE,0.0000273673,FALSE,0.8,0.00002189384
Chicken Egg,88,EGG03_B,,136,OT_OBJ_0089,OT_CMM_0089,,,UI_SYS_057,,FALSE,FALSE,0.0001323713,FALSE,0.8,0.00010589704
Ostrich Egg,89,EGG04_B,,603,OT_OBJ_0090,OT_CMM_0090,,,UI_SYS_057,,FALSE,FALSE,0.01148794,FALSE,0.8,0.009190352
Steamed Bun,90,NIKUMAN_B,,229,OT_OBJ_0091,OT_CMM_0091,OT_CTG_004,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0006320836,TRUE,0.8,0.00050566688
Police Club,91,NUNCHAKU_B,,244,OT_OBJ_0092,OT_CMM_0092,OT_CTG_032,OT_MPN_040,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0007692291,TRUE,0.8,0.00061538328
Hamburger,92,BURGER01_B,,202,OT_OBJ_0093,OT_CMM_0093,OT_CTG_004,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0004345974,TRUE,0.5,0.0002172987
Drink,93,BURGER02_B,,217,OT_OBJ_0094,OT_CMM_0094,OT_CTG_007,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0005353486,TRUE,0.5,0.0002676743
Fried Chicken,94,BURGER03_B,,214,OT_OBJ_0095,OT_CMM_0095,OT_CTG_004,OT_MPN_036,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.0005134235,TRUE,0.5,0.00025671175
Bullhorn,95,MEGAHON_B,,383,OT_OBJ_0096,OT_CMM_0096,OT_CTG_029,OT_MPN_039,UI_SYS_057,UI_NIC_011,FALSE,FALSE,0.002957562,TRUE,0.8,0.0023660496
Antenna,96,PARABORA_D,,1147,OT_OBJ_0097,OT_CMM_0097,OT_CTG_023,OT_MPN_035,UI_SYS_058,UI_NIC_013,FALSE,FALSE,0.0791671,TRUE,0.8,0.06333368
Watercolor,97,PICTURE01_C,,442,OT_OBJ_0098,OT_CMM_0098,OT_CTG_042,OT_MPN_040,UI_SYS_066,UI_NIC_012,FALSE,FALSE,0.004545458,TRUE,0.8,0.0036363664
Shopping Basket,98,SHOPPIN01_C,,796,OT_OBJ_0099,OT_CMM_0099,OT_CTG_019,OT_MPN_041,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.02645999,TRUE,0.6,0.015875994
Shopping Cart,99,SHOPPIN02_D,,1456,OT_OBJ_0100,OT_CMM_0100,OT_CTG_066,OT_MPN_041,UI_SYS_059,UI_NIC_013,FALSE,FALSE,0.1619165,TRUE,0.6,0.0971499
Briefcase,100,BAG01_C,,558,OT_OBJ_0101,OT_CMM_0101,OT_CTG_026,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.009097199,TRUE,0.8,0.0072777592
Portfolio,101,BAG02_C,,597,OT_OBJ_0102,OT_CMM_0102,OT_CTG_026,OT_MPN_051,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.011172,TRUE,0.8,0.0089376
Dried Squid,102,SURUME_B,,174,OT_OBJ_0103,OT_CMM_0103,OT_CTG_005,OT_MPN_036,UI_SYS_066,UI_NIC_010,FALSE,FALSE,0.0002798896,TRUE,0.8,0.00022391168
Scarecrow,103,KAKASHI_D,,2462,OT_OBJ_0104,OT_CMM_0104,OT_CTG_052,OT_MPN_043,UI_SYS_057,UI_NIC_015,FALSE,FALSE,0.7813899,TRUE,0.8,0.62511192
Picture-story Show,104,KAMISHI_C,,639,OT_OBJ_0105,OT_CMM_0105,OT_CTG_017,OT_MPN_034,UI_SYS_057,UI_NIC_012,TRUE,FALSE,0.01370253,TRUE,0.8,0.010962024
Kendo Mask,105,KENDOU01_C,,757,OT_OBJ_0106,OT_CMM_0106,OT_CTG_015,OT_MPN_043,UI_SYS_057,UI_NIC_012,FALSE,FALSE,0.02271974,TRUE,0.8,0.018175792
Bamboo Sword,106,KENDOU02_C,,420,OT_OBJ_0107,OT_CMM_0107,OT_CTG_039,OT_MPN_043,UI_SYS_058,UI_NIC_012,FALSE,FALSE,0.003897124,TRUE,0.8,0.0031176992
Barrel,107,TARU_D,,1608,OT_OBJ_0108,OT_CMM_0108,OT_CTG_019,OT_MPN_045,UI_SYS_057,UI_NIC_014,FALSE,FALSE,0.2177842,TRUE,0.8,0.17422736
Organ,108,ORGAN_E,,1778,OT_OBJ_0109,OT_CMM_0109,OT_CTG_014,OT_MPN_044,UI_SYS_059,UI_NIC_014,FALSE,FALSE,0.2943675,TRUE,0.8,0.235494
X'mas Tree,109,XMAS01_D,,2037,OT_OBJ_0110,OT_CMM_0110,OT_CTG_020,OT_MPN_045,UI_SYS_058,UI_NIC_015,FALSE,FALSE,0.4429055,TRUE,0.8,0.3543244
Boot,110,XMAS02_B,,177,OT_OBJ_0111,OT_CMM_0111,OT_CTG_020,OT_MPN_034,UI_SYS_063,UI_NIC_010,FALSE,FALSE,0.0002905745,TRUE,0.8,0.0002324596
House,111,XMAS03_B,,162,OT_OBJ_0112,OT_CMM_0112,OT_CTG_020,OT_MPN_034,UI_SYS_062,UI_NIC_010,FALSE,FALSE,0.0002255859,TRUE,0.8,0.00018046872
Santa,112,XMAS04_B,,176,OT_OBJ_0113,OT_CMM_0113,OT_CTG_020,OT_MPN_034,UI_SYS_060,UI_NIC_010,FALSE,FALSE,0.0002870025,TRUE,0.8,0.000229602
Star,113,XMAS05_B,,179,OT_OBJ_0114,OT_CMM_0114,OT_CTG_020,OT_MPN_034,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0003005069,TRUE,0.8,0.00024040552
Traffic Dummy,114,TRAFFICMAN_D,,2214,OT_OBJ_0115,OT_CMM_0115,OT_CTG_032,OT_MPN_043,UI_SYS_060,UI_NIC_015,FALSE,FALSE,0.5689061,TRUE,0.8,0.45512488
Blue Ornament,115,XMAS07_B,,109,OT_OBJ_0116,OT_CMM_0116,OT_CTG_020,OT_MPN_034,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000681352,TRUE,0.8,0.00005450816
Red Ornament,116,XMAS09_B,,109,OT_OBJ_0117,OT_CMM_0117,OT_CTG_020,OT_MPN_034,UI_SYS_057,UI_NIC_010,FALSE,FALSE,,TRUE,0.8,0
Yellow Ornament,117,XMAS10_B,,109,OT_OBJ_0118,OT_CMM_0118,OT_CTG_020,OT_MPN_034,UI_SYS_057,UI_NIC_010,FALSE,FALSE,0.0000681352,TRUE,0.8,0.00005450816
Fake Snow,118,XMAS08_B,,42,OT_OBJ_0119,OT_CMM_0119,OT_CTG_020,OT_MPN_033,UI_SYS_057,UI_NIC_009,FALSE,FALSE,0.0000038798,TRUE,0.8,0.00000310384
Top,119,TOBIBOX01_D,,917,OT_OBJ_0120,OT_CMM_0120,OT_CTG_049,OT_MPN_052,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.04041206,TRUE,0.6,0.024247236
2nd Step,120,TOBIBOX02_D,,834,OT_OBJ_0121,OT_CMM_0121,OT_CTG_049,OT_MPN_044,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.03042718,TRUE,0.6,0.018256308
3rd Step,121,TOBIBOX03_D,,845,OT_OBJ_0122,OT_CMM_0122,OT_CTG_049,OT_MPN_044,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.0316307,TRUE,0.6,0.01897842
4th Step,122,TOBIBOX04_D,,819,OT_OBJ_0123,OT_CMM_0123,OT_CTG_049,OT_MPN_052,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.02882005,TRUE,0.6,0.01729203
5th Step,123,TOBIBOX05_D,,842,OT_OBJ_0124,OT_CMM_0124,OT_CTG_049,OT_MPN_035,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.03128122,TRUE,0.6,0.018768732
6th Step,124,TOBIBOX06_D,,863,OT_OBJ_0125,OT_CMM_0125,OT_CTG_049,OT_MPN_043,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.03374238,TRUE,0.6,0.020245428
7th Step,125,TOBIBOX07_D,,884,OT_OBJ_0126,OT_CMM_0126,OT_CTG_049,OT_MPN_051,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.03620352,TRUE,0.6,0.021722112
8th Step,126,TOBIBOX08_D,,903,OT_OBJ_0127,OT_CMM_0127,OT_CTG_049,OT_MPN_042,UI_SYS_057,UI_NIC_013,FALSE,FALSE,0.03866467,TRUE,0.6,0.023198802
