name,size,location,best time to collect
Cookie Tile,68cm2mm,sweets meadow,
Strawberry Cookie Tile,68cm2mm,sweets meadow,
Cookie,90cm,sweets house,
Small Cookie Tree,1m40cm,sweets house,
Cookie Tree,2m20cm,sweets house,
Big Cookie Tree,2m45cm,sweets house,
Cookie Sandwich,5cm8mm,alap2,
,,,
1e. Japanese Food,,,
,,,
Oden,20cm7mm,sumo small,
Small Takoytaki,7cm5mm,alap3,
Takoyaki One Bite,9cm3mm,alap3,
Okonomiyaki,25cm8mm,alap3,
Salmon,16cm5mm,alap2,
Grilled Fish,28cm7mm,alap2,
Cucumber Roll,9cm9mm,"alap1, random, alap3",alap3
Tuna Roll,9cm9mm,"alap2, random",
,,,
Tuna Sushi,9cm8mm,"alap1, random, alap3",
Squid Sushi,9cm8mm,"alap1, random",
Toro Sushi,9cm8mm,alap3,
Egg Sushi,9cm8mm,"alap2, alap3",
Octopus Sushi,9cm8mm,alap2,
Shrimp Sushi,9cm8mm,"alap1, random",
Mackerel Sushi,9cm8mm,"alap2, random, alap3",
Salmon Roe Roll,11cm3mm,"alap2, random",
,,,
Onigiri (Rice Ball),16cm,alap2,
Gigantic Riceball,1m12cm5mm,sumo small,
Lunch Box,38cm6mm,alap2,
Soba Noodles,37cm5mm,sumo small,
Noodles with Kitsune,39cm8mm,school,
Pork Bowl,40cm5mm,sumo small,
Gigantic Katsu Rice,1m64cm9mm,sumo large,
Pickle Tub,1m8cm9mm,racetrack,
,,,
Kagami-mochi,35cm2mm,sumo small,
Huge Rice Cake,1m42cm,sumo medium,
Pot Cooking,52cm,sumo small,
Cooking Pot,1m40cm8mm,sumo small,
,,,
1f. Drinks,,,
,,,
Drink,21cm7mm,sumo medium,
Orange Juice,17cm,alap2,
Green Tea (Can),17cm,alap2,
Coffee (Can),17cm,alap2,
Soda,17cm,alap2,
Soda,17cm,"alap2, cleaning","cleaning, unmissable"
Sports Drink,17cm,alap2,
Apple Juice,17cm,alap2,
,,,
Bottle Cap,3cm9mm,alap1,
Glass Bottle,38cm7mm,alap2,
Pet Bottle Juice,31cm1mm,alap2,
Milk Carton,17cm6mm,alap2,
Tetrapack Milk,20cm2mm,alap2,
Milk Bottle,19cm9mm,alap2,
Coffee Milk,19cm9mm,alap2,
Large Milk Carton,26cm,alap1,
,,,
Ice Cream Float,33cm2mm,underwater,
Mixed Juice,34cm9mm,underwater,
Lemon Tea,31cm8mm,alap3,
Mug,20cm,alap1,
Teacup,18cm,alap1,
Teapot,28cm7mm,alap3,
Thermos Pot,51cm1mm,alap3,
Kettle,72cm9mm,underwater,
,,,
Oasis,201m34cm1mm,alap5,
,,,
1g. Cooking,,,
,,,
Kitchen Knife,12cm8mm,alap2,
Butcher's Knife,50cm6mm,alap3,
Cutting Board,43cm1mm,alap2,
Salt,13cm4mm,alap1,
Pepper,13cm,alap1,
Sugar,22cm5mm,alap1,
Soy Sauce Container,17cm2mm,alap1,
Soy Sauce Bottle,26cm9mm,sumo small,
,,,
Mayonnaise,25cm5mm,sumo small,
Ketchup,25cm5mm,alap1,
Strawberry Jam,15cm,alap1,
Marmalade,15cm,alap1,
Honey,25cm,alap1,
Butter,25cm4mm,alap1,
Fork,7cm6mm,alap1,
Spoon,8cm1mm,alap1,
,,,
Rice Container,60cm7mm,school,
Rice Cooker,76cm6mm,alap3,
Camping Pot,46cm8mm,campfire small,
Mom's Rice Bowl,25cm5mm,alap1,
Dad's Rice Bowl,29cm6mm,alap3,
Son's Rice Bowl,22cm2mm,sumo small,
Daughter's Bowl,22cm2mm,alap1,
Gigantic Rice Bowl,1m32cm7mm,sumo small,
,,,
Expensive Plate,18cm5mm,alap1,
Small Plate,18cm5mm,alap1,
Square Dish,24cm,alap2,
Plate,30cm8mm,sumo large,
Square Plate,33cm3mm,alap3,
Large Flower Plate,1m46cm7mm,sumo small,
Sweets Plate,1m73cm5mm,"sweets house, under the stump",
Chinese Bowl,45cm6mm,sumo small,
,,,
Chopsticks,8cm8mm,alap1,
Peeler,16cm7mm,alap2,
Plastic Wrap,22cm8mm,alap1,
Spatula,22cm6mm,alap3,
Slotted Spatula,21cm1mm,sumo small,
Ladle,28cm3mm,alap2,
Frying Pan,66cm1mm,alap3,
Wok,96cm1mm,alap3,
,,,
Takoyaki Hotplate,23cm,"alap3, in the house",
Clay Stove,68cm4mm,sumo small,
Blender,57cm5mm,alap3,
Shabu-Shabu Pot,88cm9mm,sumo medium,
Tongs,26cm8mm,alap3,
Tray,47cm7mm,alap3,
Lunch Tray,47cm7mm,school,
Tray,53cm5mm,alap2,
,,,
Dogfood Bowl,30cm4mm,alap2,
Microwave Oven,1m26cm3mm,alap3,
Sashimi Boat,58cm3mm,underwater,
Fire Pit,3m16cm4mm,racetrack,
Outdoor Sink,4m37cm7mm,campfire large,
Toaster,58cm5mm,alap2,
,,,
1h. Trash,,,
,,,
Vacuum Cleaner,1m11cm6mm,alap3,
Dustpan,34cm2mm,alap2,
Store Dustpan,80cm2mm,school afap,
Broom,66cm3mm,school,
Bamboo Broom,90cm8mm,alap2,
Blackboard Eraser Cleaner,41cm5mm,school,
Dust Cloth,30cm3mm,school,
Dust Cloth Hanger,1m35cm5mm,school,
,,,
Cleaning Bucket,70cm2mm,school,
Bucket,77cm5mm,alap2,
Toilet Plunger,57cm5mm,school,
Old Magazines,39cm,alap4,
Old Book,53cm2mm,alap4,
Old Newspaper,70cm9mm,alap2,
Garbage,1m26cm1mm,alap3,
Trash Bag,1m26cm1mm,alap3,
,,,
Mandarin Peel,14cm2mm,alap1,
Dustbin,53cm,school,
Trash Can,87cm3mm,school,
Trash Can,1m30cm2mm,alap3,
Recycling Bin,1m35cm1mm,friends,
Metal Trash Can,1m26cm2mm,racetrack,
Trash Can,1m26cm2mm,alap3,
Garbage Dump,4m48cm5mm,campfire large,
,,,
1i. Cleaning,,,
,,,
Clothes Peg,6cm6mm,alap1,
Clothes Peg,6cm6mm,alap1,
Soap,10cm4mm,alap3,
School Soap,25cm2mm,school,
Detergent,37cm2mm,alap2,
Washtub,52cm6mm,flowers,
Laundry Basket,73cm2mm,alap2,
Faucet,27cm3mm,school,
,,,
Dishwashing Liquid,33cm2mm,alap2,
Sponge,15cm6mm,alap2,
Laundry Pole,1m30cm,alap3,
Laundry Deck,1m50cm,campfire large,
Laundry Hanger,49cm5mm,campfire small,
Washstand,1m15cm,"school, bathroom",
Hose Reel,85cm2mm,alap2,
Washing Machine,2m35cm7mm,alap3,
,,,
Water Tap,1m24cm4mm,alap3,
Car Wash,6m10cm2mm,alap4,
,,,
1j. Reading,,,
,,,
Weekly Magazine,30cm,alap1,
Diary,19cm4mm,alap2,
Math Workbook,16cm2mm,alap3,
Kanji Workbook,16cm2mm,alap3,
Math Textbook,25cm,school,
Japanese Textbook,25cm,school,
English Textbook,24cm4mm,alap2,
History Textbook,29cm6mm,school,
,,,
Dictionary,23cm7mm,school,
Dictionary,27cm,alap1,
Fairy Tale Book,25cm,alap3,
School Yearbook,25cm,school,
Paperback,13cm9mm,alap1,
Comic,28cm7mm,alap3,
Magazine,29cm3mm,alap2,
Fashion Magazine,34cm2mm,"alap2, in the house",
,,,
Animal Book,35cm8mm,alap3,
Plant Book,35cm8mm,school,
Encyclopedia,35cm8mm,school,
Telephone Book,50cm6mm,alap3,
Home Doctor Book,56cm8mm,pandas,
Magazine Rack,1m71cm6mm,alap3,
,,,
2a. Stationary,,,
,,,
Yellow Pushpin,3cm5mm,alap1,
Blue Pushpin,3cm5mm,alap1,
Thumbtack,3cm1mm,alap2,
Glue,7cm4mm,alap1,
Kid's Glue Stick,7cm9mm,"cleaning, unmissable","cleaning, unmissable"
Clip,1cm8mm,alap1,
Green Clip,4cm5mm,alap1,
Red Clip,4cm5mm,alap1,
,,,
Small B Pencil,4cm,alap2,
B Pencil,4cm3mm,"alap2, cleaning","cleaning, unmissable"
H Pencil,4cm1mm,"alap2, cleaning","cleaning, unmissable"
Pencil With Eraser,7cm2mm,"cleaning, unmissable","cleaning, unmissable"
Fancy Pencil,7cm,"cleaning, unmissable","cleaning, unmissable"
HB Pencil,7cm9mm,"cleaning, unmissable","cleaning, unmissable"
Blue & Red Pencil,9cm7mm,"cleaning, unmissable","cleaning, unmissable"
Ballpoint Pen,6cm5mm,alap1,
,,,
Eraser,8cm1mm,"cleaning, unmissable","cleaning, unmissable"
Sand Eraser,7cm4mm,"cleaning, unmissable","cleaning, unmissable"
Boy's Pen Box,27cm3mm,school,
Girly Pen Box,29cm8mm,school,
Pencil Stand,18cm7mm,"alap2, cleaning","cleaning, unmissable"
Pencil Sharpener,26cm2mm,school,
Permanent Marker,8cm6mm,"alap1, cleaning","cleaning, unmissable"
Group: Crayon Box (14 Objects),,,
Crayon Box,19cm4mm,alap2,
White Crayon,5cm9mm,"cleaning, unmissable","cleaning, unmissable"
Black Crayon,3cm7mm,"cleaning, unmissable","cleaning, unmissable"
Red Crayon,4cm2mm,"cleaning, unmissable","cleaning, unmissable"
Pink Crayon,4cm8mm,"cleaning, unmissable","cleaning, unmissable"
Green Crayon,5cm1mm,"cleaning, unmissable","cleaning, unmissable"
Lime Crayon,5cm,"cleaning, unmissable","cleaning, unmissable"
Blue Crayon,5cm,"cleaning, unmissable","cleaning, unmissable"
Aqua Crayon,5cm4mm,"cleaning, unmissable","cleaning, unmissable"
Purple Crayon,5cm4mm,"cleaning, unmissable","cleaning, unmissable"
Brown Crayon,5cm6mm,"cleaning, unmissable","cleaning, unmissable"
Beige Crayon,5cm1mm,"cleaning, unmissable","cleaning, unmissable"
Ochre Crayon,5cm7mm,"cleaning, unmissable","cleaning, unmissable"
Gold Crayon,5cm9mm,"cleaning, unmissable","cleaning, unmissable"
End of Group: Crayon Box,,,
,,,
Inkbrush,8cm4mm,alap3,
Calligraphy Pen,18cm5mm,school,
Paperweight,8cm8mm,alap3,
India Ink,21cm7mm,"underwater, school",
Classroom Calligraphy,25cm,"underwater, school",
Classroom Calligraphy,25cm,"underwater, school",
Classroom Calligraphy,25cm,"underwater, school",
Classroom Calligraphy,25cm,"underwater, school",
,,,
Inkstone,20cm,"underwater, school",
Black Calligraphy Bag,40cm,alap3,
Red Calligraphy Bag,40cm,school,
Sticky Tape,11cm6mm,"alap1, cleaning","cleaning, unmissable"
Sticky Tape,35cm4mm,school,
Paper Cutter,16cm3mm,"alap2, cleaning","cleaning, unmissable"
Scissors,16cm8mm,alap2,
Big Compass,53cm2mm,school,
,,,
Abacus,28cm,"alap1, school",
Sketch Book,45cm,alap2,
Files,66cm1mm,school,
Filing Cabinet,91cm3mm,alap3,
,,,
2b.Fashion,,,
,,,
Straw Hat,44cm8mm,alap2,
Glasses,9cm3mm,alap1,
Lipstick,7cm6mm,alap1,
Hairpin,4cm5mm,alap1,
Plastic Comb,13cm9mm,alap3,
Hair Brush,21cm1mm,"just right medium, on a desk in the middle classroom",
Hair Dryer,33cm3mm,underwater,
Briefs,24cm7mm,alap3,
,,,
Red Sock,11cm6mm,alap3,
Blue Sock,12cm7mm,"cleaning, unmissable","cleaning, unmissable"
Bunny Slipper,53cm7mm,alap3,
Leather Shoe,39cm6mm,pandas,
Sandal,31cm1mm,alap2,
Kid's Shoe,23cm5mm,alap2,
Pumps,34cm,alap2,
Sneaker,36cm,alap2,
,,,
Striped T-Shirt,59cm1mm,campfire small,
Parasol,1m35cm3mm,racetrack,
Royal Nose,7m55cm7mm,snow,
,,,
2c. Sewing,,,
,,,
Thread (Red & White),8cm4mm,alap1,
Thread (Navy),8cm4mm,alap1,
Thread (Green),10cm7mm,alap1,
Thread (White),10cm7mm,alap1,
Red Dress Pin,2cm7mm,alap1,
Green Dress Pin,2cm7mm,alap1,
Dress Pin,2cm7mm,alap1,
Pin Cushion,13cm8mm,alap1,
,,,
Sewing Box,86cm4mm,"just right medium, meeting room",
,,,
2d. Sound,,,
,,,
Guitar,1m10cm9mm,flowers,
Bell,4cm8mm,alap1,
Castanet,12cm5mm,"alap2, cleaning","cleaning, unmissable"
Harmonica,16cm8mm,alap3,
Windchime,20cm1mm,alap2,
Recorder,20cm2mm,alap2,
Gong,37cm,alap3,
Pianica,40cm6mm,alap3,
,,,
Cassette Tape,9cm7mm,"cleaning, unmissable","cleaning, unmissable"
Cassette Radio,64cm7mm,alap2,
Cassette Radio,62cm3mm,alap2,
Stereo,87cm5mm,alap3,
Stereo Speaker,1m5cm5mm,alap3,
Speaker,88cm8mm,school,
Court Musician Flute,42cm5mm,sumo small,
Court Musician Drum,45cm5mm,sumo small,
,,,
Trumpet,52cm4mm,alap2,
Big Drum,1m23cm1mm,school afap,
Small Drum,1m10cm5mm,school afap,
Cymbal,1m22cm5mm,school afap,
Gong,1m40cm5mm,school afap,
Cello,1m38cm6mm,school afap,
Organ,1m77cm8mm,alap3,
Hanging Bell,3m40cm1mm,alap5,
,,,
Harp,3m11cm5mm,alap3,
Grand Piano,3m91cm2mm,racetrack,
,,,
2e. Sports,,,
,,,
Kendo Mask,75cm7mm,school,
Ping-Pong Ball,9cm4mm,alap1,
Golf Ball,11cm,alap1,
Tennis Ball,13cm5mm,alap1,
Baseball,19cm9mm,alap2,
Dodgeball,43cm8mm,alap2,
Football,49cm4mm,alap3,
Red Ball,3m99cm9mm,racetrack,
,,,
Baseball Bat,49cm8mm,alap2,
Baseball Cap,37cm6mm,school,
Scoreboard,7m7cm2mm,alap5,
Base,76cm4mm,"school, hallway",
Home Plate,42cm,"campfire small, by the cabin",
Pitcher's Mound,3m84cm2mm,alap5,
Soccer Ball,55cm7mm,alap2,
Ping Pong Paddle,33cm7mm,school,
,,,
Surfboard,1m38cm5mm,racetrack,
Swimming board,1m31cm4mm,alap3,
Blue Ski Board,1m40cm1mm,school,
Yellow Ski Board,1m40cm1mm,snow,
Green Ski Board,1m40cm1mm,snow,
Ski Pole,72cm3mm,snow,
Snowboard,1m9cm,snow,
Tennis Racket,74cm9mm,alap2,
,,,
Flagstick,64cm6mm,underwater,
Hurdle,1m43cm3mm,alap3,
Red Helmet,97cm2mm,racetrack,
Green Helmet,97cm2mm,racetrack,
Racer,1m65cm2mm,racetrack,
Red Racer,1m45cm6mm,racetrack,
Purple Racer,1m45cm6mm,racetrack,
Blue Racer,1m45cm6mm,racetrack,
,,,
Outfielder,1m84cm,alap4,
Catcher,1m98cm7mm,alap5,
Batter,1m93cm4mm,alap4,
Benchwarmer,1m78cm2mm,alap5,
Surfer,1m60cm,underwater,
Soccer Player,1m58cm,alap3,
Marathon Runner,1m69cm4mm,alap4,
Tennis Player,1m83cm3mm,alap4,
,,,
Green Boarder,1m86cm5mm,snow,
Red Boarder,1m86cm5mm,snow,
Yellow Boarder,1m86cm5mm,snow,
Red Skier,2m2cm7mm,snow,
Purple Skier,2m2cm7mm,snow,
Green Skier,2m2cm7mm,snow,
Ski Jumper,2m14cm8mm,snow,
Skier,2m7cm3mm,snow,
,,,
Yellow Skier,2m4mm,snow,
Red Skier,2m4mm,snow,
Green Skier,2m4mm,snow,
Ice Skater Boy,1m36cm7mm,snow,
Ice Skater Grandpa,1m56cm1mm,snow,
Ice Skater,1m70cm2mm,snow,
Speed Skater,1m77cm5mm,snow,
Canoeist,2m83cm2mm,friends afap,
,,,
Oxygen Tank,80cm7mm,underwater,
Judo Wrestler,2m10cm3mm,"cowbear, near the boxing ring",
Sumo Wrestler,3m1mm,sumo medium,
Komusubi (Sumo Wrestler),1m33cm,sumo small,
Ozeki (Sumo Wrestler),2m5cm,sumo medium,
Yokozuna (Sumo Wrestler),2m96cm,sumo large,
Boxer,1m88cm7mm,alap5,
Basketball Player,2m7cm,afap5,
,,,
Skydiving Man,2m11cm,snow,
Parachute Man,10cm1cm,racetrack,
Glider Man,8m22cm4mm,racetrack,
Basketball Hoop,5m58cm5mm,alap5,
Soccer Goal,8m55cm6mm,"alap5, schoolyard (random)",
,,,
2f. Powerful,,,
,,,
Barbell,1m68cm,campfire large,
Hard-working Trainee,1m50cm3mm,school,
Trainee,1m55cm2mm,alap3,
Beetle Fight,20cm9mm,alap3,
Wrestling Match,3m3mm,alap5,
Sumo Bout,4m67cm5mm,afap5,
Judo Contest,4m50cm3mm,alap5,
Killer Move,2m85cm,snow,
,,,
Axe,45cm2mm,"racetrack, campfire",
Dumbbell,27cm7mm,alap2,
Pickaxe,72cm6mm,alap2,
Lawn Roller,2m24cm7mm,campfire large,
Elephant,9m13cm4mm,friends,
Large Elephant,14m31cm5mm,alap4,
Indian Elephant,30m10cm8mm,alap5,
Wrestling Ring,9m87cm3mm,alap5,
,,,
Sumo Ring,10m43cm5mm,just right large,
Wrecking Ball,13m45cm7mm,racetrack,
Crane,22m9cm9mm,alap5,
Crane (L),111m35cm,alap5,
,,,
2g. Playtime,,,
,,,
Cup and Ball,25cm,alap2,
Balancing Toy,21cm9mm,"just right small, on the bed",
Red Block,7cm,"cleaning, unmissable","cleaning, unmissable"
Yellow Block,8cm,"cleaning, unmissable","cleaning, unmissable"
Green Block,8cm8mm,"cleaning, unmissable","cleaning, unmissable"
Blue Building Block,7cm,"cleaning, unmissable","cleaning, unmissable"
White Building Block,11cm6mm,"cleaning, unmissable","cleaning, unmissable"
Jigsaw Piece,2cm2mm,alap1,
,,,
Kaleidoscope,18cm1mm,alap2,
Group: Daruma (6 Objects),,,
Hammer,16cm6mm,"cleaning, unmissable","cleaning, unmissable"
Daruma Head,13cm6mm,"alap2, cleaning","cleaning, unmissable"
Daruma Body (2nd),12cm5mm,"alap2, cleaning","cleaning, unmissable"
Daruma Body,12cm5mm,"alap2, cleaning","cleaning, unmissable"
Daruma Body,12cm5mm,"alap2, cleaning","cleaning, unmissable"
Daruma Body,12cm5mm,"alap2, cleaning","cleaning, unmissable"
End of Group: Daruma,,,
Red Circle Toy Block,9cm7mm,"cleaning, unmissable","cleaning, unmissable"
Blue Circle Toy Block,9cm7mm,"cleaning, unmissable","cleaning, unmissable"
Yellow Square Toy Block,13cm,"cleaning, unmissable","cleaning, unmissable"
Red Square Toy Block,13cm,"cleaning, unmissable","cleaning, unmissable"
Blue Triangle Toy Block,11cm7mm,"cleaning, unmissable","cleaning, unmissable"
Yellow Triangle Toy Block,11cm7mm,"cleaning, unmissable","cleaning, unmissable"
,,,
Red Toy Capsule,12cm2mm,"cleaning, unmissable","cleaning, unmissable"
Yellow Toy Capsule,12cm2mm,"cleaning, unmissable","cleaning, unmissable"
Blue Toy Capsule,12cm2mm,"cleaning, unmissable","cleaning, unmissable"
Clay,28cm8mm,cranes,
Plastic Railroad,17cm2mm,"cleaning, unmissable","cleaning, unmissable"
Plastic Railroad Corner,17cm2mm,"cleaning, unmissable","cleaning, unmissable"
Model Train,16cm9mm,"cleaning, unmissable","cleaning, unmissable"
Model Carriage,16cm6mm,"cleaning, unmissable","cleaning, unmissable"
,,,
Origami Samurai,9cm,alap2,
Origami Samurai Helmet,10cm4mm,alap2,
Fishing Lure,7cm5mm,alap2,
Fishing Hook,25cm5mm,underwater,
Fishing Pole,66cm5mm,underwater,
Kiddie Spade,20cm2mm,underwater,
Kiddie Rake,29cm,alap3,
Kiddie Bucket,44cm7mm,alap2,
,,,
Picture-story Show,63cm9mm,"cranes, middle classroom",
Picture Stand,2m73cm9mm,campfire small,
Toy Robot,26cm9mm,alap3,
Wooden Horse,2m5cm9mm,friends,
Ream Kite,1m8cm,racetrack,
Kite,1m3cm,alap4,
Balance Toy,49cm3mm,alap2,
Skateboard,79cm7mm,school,
,,,
Red Balloon,89cm7mm,friends,
Blue Balloon,89cm7mm,"school afap, friends",
Yellow Balloon,89cm7mm,"school afap, friends",
Green Balloon,89cm7mm,"alap3, friends",
Pink Balloon,89cm7mm,"school afap, friends",
Rabbit Balloon,89cm7mm,"school afap, friends",
Jumping Rabbit,20m6cm9mm,alap5,
,,,
2h. Games,,,
,,,
Bowling Pin,41cm8mm,school,
Green Die,2cm8mm,alap1,
Die,2cm8mm,alap1,
Red Die,2cm8mm,alap1,
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
,,,
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
Mah-Jong Tile,5cm1mm,"alap1, random",
,,,
Mah-Jong Tile,5cm1mm,"alap1, random",
Omikuji,55cm,pandas,
Shogi Board,28cm2mm,alap3,
Group: Shogi Table (10 Objects),,,
Shogi Table,76cm9mm,alap2,
Ousho,4cm4mm,alap2,
