TEXT_ID,SPEAKER,JAPANESE,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
KG_C_CNC_011,王様,{#4}カニシバイ{#0}スルナ！,Crabs don't need entertainment!,Les crabes n'ont pas besoin de divertissements !,Krabben brauchen keine Belustigung.,Ai granchi non serve intrattenimento!,¡Los cangrejos no necesitan divertirse!
KG_C_CNC_012,王様,ナベモ美味シソウ。,Bouillabaisse sounds good too.,La bouillabaisse semble être bonne aussi.,Eine Bouillabaisse hört sich verlockend an.,Ci saremmo accontentati di un panino.,La bullabesa también es una opción.
KG_C_CNC_013,王様,カニブクロ・・・・・{^3},"A ""crab bag"" of goodies!{^3}",C'est plein de bonnes choses !{^3},"Eine ""Krabbentasche"" voller Leckereien.{^3}",Non avrai preso un granchio?{^3},"¡Una bolsa de ""cangrejosinas""!{^3}"
KG_C_CNC_014,王様,ダジャレハカンニンシテ下サイ・・,Pardon the stupid jokes.,J'en ai l'eau à la bouche.,Entschuldige die unlustigen Scherze.,Scusa la freddura.,Perdón por los chistes malos.
KG_C_CNC_015,王様,カニ,Crab.,Crabe.,Verkrebst und zugenäht.,"Toh, un granchio.",Cangrejo el último.
KG_C_CNC_016,王様,ワオゥ、{^6}ラララ。,"Oh, {^6}Lalala.","Oh, {^6}Lalala.",Ah ... {^6}Lalala.,"Oh, {^6}Lalala.","Oh, {^6}Lalala."
KG_C_CNC_017,王様,イツデモドコデモ、\n何モキテナイノネ。,"Never a good time or place\nfor you to put some clothes on, hm?","Ce n'est jamais le bon moment ni l'endroit\npour mettre des vêtements, hm ?","Es ist nie die richtige Zeit oder der richtige Ort,\num dir ein paar Kleider anzuziehen, oder?","Non c'è proprio modo di\nfarti indossare dei vestiti, eh?","Nunca es buen momento\npara vestirte, ¿eh?"
KG_C_CNC_018,王様,気持チワルイ。,How disturbing.,C'est troublant.,Wie merkwürdig.,Inquietante.,Inquietante.
KG_C_CNC_019,王様,エビモ美味シソウ,The shrimp looks good too.,La crevette a l'air bonne aussi.,Der Shrimp sieht delikat aus.,Il gambero sembra delizioso.,La gamba también tiene buena pinta.
KG_C_CRN_001,王様,ア、{^5}マブシイ。,"Oh, {^5}it's blinding.","Oh, {^5}c'est aveuglant.","Meine Augen, {^5}das ist zu viel!","Oh, {^5}è accecante.","Oh, {^5}su brillo nos ciega."
KG_C_CRN_002,王様,スゴイ！スゴイ！{^5}\n今日ノ地球ハスゴイ！,Amazing! Amazing!{^5}\nThe Earth looks amazing today!,Incroyable ! Incroyable !{^5}\nLa Terre a l'air somptueuse aujourd'hui !,Wahnsinn! Fantastisch!{^5}\nDie Erde sieht heute unbeschreiblich schön aus.,Sorprendente! Sorprendente!{^5}\nOggi la Terra è sorprendente!,¡Increíble! ¡Increíble!{^5}\n¡La Tierra hoy luce como nunca!
KG_C_CRN_003,王様,何コレ？{#4}カンムリ{#0} ダラケ！{^4}\nスゴイグウゼン。{^5}スゴイラッキー。,"What's this? {#4}Crowns{#0} everywhere!{^4}\nWe are super shocked, feeling super lucky.","Qu'est-ce que c'est ? Des {#4}couronnes{#0} partout !{^4}\nNous sommes très choqués, Nous Nous sentons très chanceux.",Was ist das? Überall liegen {#4}Kronen{#0} herum!{^4}\nWir sind geschockt und überglücklich zugleich!,Possibile? {#4}Corone{#0} ovunque!{^4}\nSiamo stupefatti e super felici.,¿Qué ocurre? ¡{#4}Coronas{#0} por todas partes!{^4}\n¡Estamos flipando! ¡Qué suerte la nuestra!
KG_C_CRN_004,王様,モウ、{^6}ダレカガクル前ニ{^4}\nサッサト巻キコンジャオウヨ。,Let's roll them all up{^6}\nbefore somebody shows up.{^4},Roulons dessus{^6}\navant que quelqu'un n'arrive.{^4},"Rollen wir sie besser zusammen,{^6}\nbevor sie noch jemand sieht.{^4}",Raccoglile tutte{^6}\nprima che arrivi qualcun altro.{^4},Arrollémoslas todas{^6}\nantes de que venga alguien.{^4}
KG_C_CRN_005,王様,トニカク{^4}{#7}イッパイ{#0}巻キコンデ、{^5}\nカンムリ塊ニスレバスルホド、,Get as many as you can and make\nas crown-studded a katamari as you can,Prenez-en le plus possible pour que\nle katamari en soit recouvert et pour,"Schnapp dir so viele, wie du kannst, und\nbastel daraus einen mit Kronen überhäuften Katamari.","Prendine più che puoi e crea\nun katamari più regale possibile,",Arrolla todas las coronas que puedas\npara añadirlas a tu katamari.
KG_C_CRN_006,王様,夜空デハ美シイ星座ニナルハズ。{^6}\n{#4}素敵ゴージャス{#0} ナ星空ニナルハズ。,for a beautiful constellation.\nFor a {#4}super fab gorgeous{#0} sky.,faire une magnifique constellation.\nPour un ciel {#4}vraiment fabuleux{#0}.,Das wird ein wundervolles Sternbild\nin einem {#4}fabulösen{#0} Himmel.,degno di una costellazione\nin un cielo {#4}super mega favoloso{#0}.,"Así crearemos una preciosa constelación,\ny con ella, un cielo {#4}espléndido{#0}."
KG_C_CRN_007,王様,・・・・・・・・・・・・・・,...,...,...,...,...
KG_C_CRN_008,王様,・・・{&n}コレダケノカンムリダモン、\nゼッタイ、{#7}ダレカノオトシモノ{#0}。,"These {#4}crowns{#0} must belong to someone,\nthere are just too many.","Ces {#4}couronnes{#0} doivent appartenir à quelqu'un,\nil y en a trop.",Die {#4}Kronen{#0} müssen doch jemandem gehören.\nEs sind einfach zu viele.,Queste {#4}corone{#0} sono troppe.\nSaranno sicuramente di qualcuno.,Estas {#4}coronas{#0} deben de tener dueño.\nEs que las hay a patadas.
KG_C_CRN_009,王様,・・・{#4}アヤシイヒト{#0}ガキタラ\nスグ 大コスモ ニモドルケド・・・・,"If a likely person shows up, We'll\nmake a getaway to the Great Cosmos.","Si une personne prometteuse se montre, Nous\ncréerons un passage vers le Grand cosmos.","Wenn der mögliche Eigentümer der Kronen auftaucht,\nverziehen wir uns fix durch den Great Cosmos.","Se si fa vedere, ci ritireremo\nvelocemente nel Cosmo.","Si aparece alguien, partiremos\nhacia el Gran Cosmos echando leches."
KG_C_CRN_010,王様,トリアエズ{^2}{$r}{#4}{$t}{#0}ヲ目標ニシヨウ。,"In the meantime, we have{^2} {$r}{#4}{$t}{#0}.","En attendant, nous avons{^2} {$r}{#4}{$t}{#0}.",In der Zwischenzeit haben wir {^2} {$r}{#4}{$t}{#0}.,"Nel frattempo, siamo a quota {^2} {$r}{#4}{$t}{#0}.","Hasta entonces, tenemos{^2} {$r}{#4}{$t}{#0}."
KG_C_CRN_011,王様,デハイソグノダ、ドロボウ王子ヨ・・・・,"Hurry, pilfering Prince.","Dépêchez-vous, Prince voleur.","Beeilung, plündernder Prinz.","Presto, Principe arraffone.","Date prisa, Príncipe ladrón."
KG_C_CRN_012,王様,ヤバイ！ダレカキタ！,"Shoot, someone's coming!","Zut, quelqu'un arrive !","Achtung, da kommt jemand!","Oh no, arriva qualcuno!",¡Miércoles! ¡Viene alguien!
KG_C_CRN_013,王様,ウワ！！！！,Oh!,Oh !,Oh.,Oh!,¡Oh!
KG_C_CRN_014,王様,マブシクテ目ガアカナイヨウ。\nゴージャス {#4}レ{#7}イ{#4}ン{#7}ボ{#4}ー{#0} デカエロウ。,"We can't open Our eyes, it's too dazzling.\nLet's take the gorgeous {#7}R{#2}a{#3}i{#4}n{#1}b{#6}o{#3}w{#4}{#0} back.","Nous ne pouvons pas ouvrir Nos yeux, c'est trop éblouissant.\nReprenons le magnifique {#7}Ar{#2}c-{#3}e{#4}n-{#1}c{#6}i{#3}el{#4}{#0}.","Wir können die Augen nicht öffnen, es glänzt und glitzert zu sehr.\nHolen wir uns den prachtvollen {#7}Re{#2}g{#3}en{#4}b{#1}o{#6}g{#3}en{#4}{#0} zurück.","È troppo abbagliante, non riusciamo ad aprire gli occhi.\nRientriamo con un favoloso {#7}A{#2}r{#3}c{#4}o{#1}b{#6}a{#3}l{#4}e{#0}n{#7}o{#2}.",No podemos abrir los ojos. Brilla mucho.\nTomemos el espléndido {#7}a{#2}r{#3}c{#4}o{#1}í{#6}r{#3}is{#4}{#0} de vuelta.\n
KG_C_CRN_015,王様,ア、{^6}ペソダ。,"Oh, {^6}it's Peso.","Oh, {^6}c'est Peso.","Oh, {^6}da ist ja Peso.","Oh, {^6}ecco Peso.","Anda, {^6}es Peso."
KG_C_CRN_016,王様,マルイアタマノ中ニハ\n何ガツマッテルワケ？,So what exactly is stuffed inside\nthat round head of yours?,"Alors, qu'y a-t-il vraiment dans\nvotre grosse tête ronde ?",Womit ist eigentlich ein runder Kopf\nausgestopft?,Si può sapere cosa c'è dentro\nquella tua testa tonda?,"Bueno, ¿me explicas qué tienes\ndentro de esa redonda cabeza tuya?"
KG_C_CRN_017,王様,気持チワルイ。,How disturbing?,C'est troublant ?,Einfach verstörend.,Inquietante?,Inquietante.
KG_C_CRN_018,王様,ハイ　モシモシ王様デス,"Hello? Hello, this is the King.","Hé ho ? Bonjour, c'est le Roi.",Hallo? Hallo. Ich bin der König.,Pronto? Qui parla il Re.,"¿Hola? Hola, al habla el Rey."
KG_C_CYG_001,王様,ハヤク{#6} ユウガ {#0}ナ星空ニ\nナッテホシイノダケド・・,We want some {#6}grace{#0}\nback in the sky soon...,Nous voulons qu'un peu de {#6}grâce{#0}\nrevienne vite dans le ciel...,Wir wollen bald wieder mehr {#6}Anmut{#0}\nim Himmel erblicken.,"Vorremmo riavere dell'{#6}eleganza{#0}\nnel cielo, alla svelta...",Queremos devolverle al cielo\nun poco de su {#6}elegancia{#0}...
KG_C_CYG_002,王様,ハクチョウ・・・・・・・・・・・,But the swans...,Mais les cygnes...,Aber die Schwäne ...,Però i cigni...,Pero los cisnes...
KG_C_CYG_003,王様,マダ{#6}生マレテナイ{#0}ミタイ。{^5}\nマダ{#6}タマゴ{#0}ノマンマデシタ。,don't seem to have hatched yet.{^5}\nThere's nothing but eggs.,ne semblent pas être sortis de leurs œufs.{^5}\nIl n'y a que des œufs.,Deren Küken sind noch nicht geschlüpft.{^5}\nHier liegen überall Eier herum.,non sono ancora neanche pulcini.{^5}\nCi sono solo uova.,no parecen haber nacido todavía.{^5}\nSolo hay huevos.
KG_C_CYG_004,王様,デモ、{^4}フシギナ事ニ、,"But strangely enough, {^4}","Mais bizarrement, {^4}",Seltsamerweise fangen sie an{^4},"Tuttavia, {^4}","Aunque, por extraño que parezca, {^4}"
KG_C_CYG_005,王様,タマゴヲ巻キコンダラ\nピヨピヨト{#4} フカ {#0}スルカラ。,if you roll those up they'll start\ntweeting and hatching.,"si vous roulez dessus, ils vont \npépier et éclore.","zu piepen und schlüpfen,\nwenn du sie aufrollst.",se li raccoglierai inizieranno\na schiudersi.,"si ruedas por encima, empezarán\na eclosionar y a piar."
KG_C_CYG_006,王様,トニカク{^3}{#4}イッパイ{#0}巻キコンデ、\nハクチョウ塊ニスレバスルホド、,"Get as many as you can and make\nas swan-stuffed a katamari as you can,",Prenez-en le plus possible pour que\nle katamari en soit recouvert et pour,"Schnapp dir so viele, wie du kannst, und\nbastel daraus einen mit Schwänen überhäuften Katamari.","Prendine più che puoi e crea\nun katamari più cignoso possibile,",Arrolla todos los cisnes que puedas\npara añadirlos a tu katamari.
KG_C_CYG_007,王様,ソレダケ{#6} ユウガ {#0}ニ\nオナリニゴザイマス。,and it'll be so very {#6}graceful{#0}.,pour qu'il soit vraiment {#6}gracieux{#0}.,Das wird sehr {#6}anmutig{#0} aussehen.,in modo che sia molto {#6}aggraziato{#0}.,Verás la {#6}elegancia{#0} que derrochará.
KG_C_CYG_008,王様,王様ツツシンデ\nオマチシテオリマス。,We await news of your success.,Nous attendons les nouvelles de votre réussite.,Wir erwarten die Nachricht von deinem Erfolg.,Aspettiamo notizia del tuo successo.,Quedamos a la espera de tu triunfo.
KG_C_CYG_009,王様,王様{#4}{$r}{$t}{#0}ハガマンシテ\nオマチシテオリマス。,"At least, we'll wait for {#4}{$r}{$t}{#0}.","Enfin, nous allons attendre {#4}{$r}{$t}{#0}.",Zumindest werden wir {#4}{$r}{$t}{#0} warten.,"O almeno, lo faremo per {#4}{$r}{$t}{#0}.","Al menos, durante {#4}{$r}{$t}{#0}."
KG_C_CYG_010,王様,ワーー、,Wheee!,Ouiii !,Juchuu!,Wooow!,¡Síííí!
KG_C_CYG_011,王様,ベリー{#6}ユウガ{#0}。{^3}\nチョット気持チワルイケド。,Very {#6}graceful{#0}!{^3}\nAnd a bit disturbing.,C'est très {#6}gracieux{#0} !{^3}\nEt un peu déroutant.,Sehr {#6}anmutig{#0}!{^3}\nAber auch etwas verstörend.,Molto {#6}aggraziato{#0}!{^3}\nE un po' disturbante.,¡Cuánta {#6}elegancia{#0}!{^3}\nAunque resulta algo inquietante.
KG_C_CYG_012,王様,ピヨピヨウルサイネ。{^7}\nユウガ {#4}レ{#6}イ{#4}ン{#6}ボ{#4}ー{#0} デカエロウ。,"Tweet, tweet, tweet! Noisy things.{^7}\nWe'll take the graceful {#7}R{#2}a{#3}i{#4}n{#1}b{#6}o{#3}w{#4}{#0} back.","Cui, cui, cui ! Qu'ils sont bruyants.{^7}\nReprenons le gracieux {#7}Ar{#2}c-{#3}e{#4}n-{#1}c{#6}i{#3}el{#4}{#0}.","Piep, piep, piep! Lärmende kleine Dinger.{^7}\nHolen wir uns den anmutigen {#7}Re{#2}g{#3}en{#4}b{#1}o{#6}g{#3}en{#4}{#0} zurück.",Cip cip cip! Che animali fastidiosi.{^7}\nRientriamo con un aggraziato {#7}A{#2}r{#3}c{#4}o{#1}b{#6}a{#3}l{#4}e{#0}n{#7}o{#2}.,"¡Pío, pío, pío! Qué ruido hacen.{^7}\nTomaremos el elegante {#7}a{#2}r{#3}c{#4}o{#1}í{#6}r{#3}is{#4}{#0} de vuelta."
KG_C_CYG_013,王様,ア、{^6}オデコダ。,"Oh,{^6} it's Odeko.","Oh,{^6} c'est Odeko.","Schau, {^6}da ist Odeko.","Oh,{^6} ma sei Odeko.","Anda, {^6}es Odeko."
KG_C_CYG_014,王様,コレハコレハ、{^5}\nナガイ、{^5}ナガスギダヨ。,"Goodness, gracious,{^5}\nyou're very long. {^5}Too long.{^5}","La perfection, la grâce,{^5}\nça prend du temps. {^5}Trop de temps.{^5}","Prächtig, wunderbar,{^5}\nwie lang du bist. {^5}Zu lang.{^5}","Santo cielo,{^5}\ncome sei lungo. {^5}Troppo lungo.{^5}",Caray.{^5}\nEres muy alto. {^5}Demasiado.{^5}
KG_C_CYG_015,王様,トテモ気持チワルイ。,How very disturbing.,C'est très troublant.,Einfach verstörend.,E troppo inquietante.,¡Superinquietante!
KG_C_CYG_016,王様,クルックー　クルックー,Cuck-koo! Cuck-koo!,Coucou ! Coucou !,"Kuckuck, kuckuck.",Cucù! Cucù!,¡Cucú! ¡Cucú!
KG_C_CYG_017,王様,ナルホド\nヒナニンギョウ　トイウワケデスネ,"We see.\nHina doll, We suspect.",Nous voyons.\nNous supposons que c'est une poupée hina.,"Wir verstehen.\nHina-Puppen, richtig?","Ah, sì.\nUna bambola hina, presumiamo.",Veamos.\nParece una muñeca hina.
KG_C_CYG_018,王様,王子ヨ　ソレハモウ\nウマレナイ　スシダモン,Silly Prince! \nThat won't hatch. It's sushi now.,Stupide Prince ! \nÇa ne va pas éclore. C'est du sushi maintenant.,"Dummer Prinz!\nDie schlüpfen nicht mehr, weil sie jetzt im Sushi sind.",Principe sciocchino!\nCome fa del sushi a schiudersi?,¡Príncipe idiota!\nNo va a eclosionar. Ahora es sushi.
KG_C_ET1_001,王様,エターナルナンダカラ{^6}\n目標ナンテ無イワヨ！,"This is Eternal,{^6} so there's\nno such thing as an objective!","C'est le mode Éternel,{^6} il n'y a\ndonc pas d'objectif !",Das ist die Ewigkeit. {^6}Hier gibt es\nso etwas wie Ziele nicht.,"Qui siamo nell'Infinito,{^6} quindi\nnon esistono obiettivi!","Esto es la Eternidad,{^6} ¡aquí no hay\nobjetivos que valgan!"
KG_C_ET1_002,王様,トロトロアソベバイイジャナイ。,Just toodle around and play.,Baladez-vous et jouez.,Toll einfach herum und spiel.,Divertiti a rotolare in giro.,Déjate de historias y juega.
KG_C_ET1_003,王様,時間モ大キサモ忘レチャイナヨ。,Who cares about time or size?,On s'en fiche du temps et de la taille.,Wen kümmern schon Zeit und Größe?,Non preoccuparti di tempo e dimensioni.,¿Qué más da el tiempo o el tamaño?
KG_C_ET1_004,王様,ソンナコトヨリ王様ネムイ。,"But anyway, We're getting sleepy.","Bref, Nous commençons à fatiguer.","Egal, wir werden langsam müde.","Comunque sia, ora abbiamo sonno.","En cualquier caso, nos estamos\nquedando sopa."
KG_C_ET1_005,王様,ソンナコトヨリ王様プール行キタイ。,"But anyway, We want to go\nto the pool.","Bref, Nous allons\nà la piscine.","Egal, wir wollen\nan den Pool.","Comunque sia, vogliamo andare\nin piscina.","En cualquier caso, queremos ir\na la piscina."
KG_C_ET1_006,王様,ソンナコトヨリ王様オフロハイリタイ。,"But anyway, We want to take a bath.","Bref, nous voulons prendre un bain.","Egal, wir wollen ein Bad nehmen.","Comunque sia, vogliamo fare un bagno.","En cualquier caso, queremos darnos\nun baño."
KG_C_ET1_007,王様,ソンナコトヨリ王様オナカペコペコ。,"But anyway, We're really hungry.","Bref, nous avons vraiment faim.","Egal, wir haben richtig Hunger.","Comunque sia, abbiamo una fame da lupi.","En cualquier caso, tenemos un hambre\nbestial."
KG_C_ET1_008,王様,コンニチワ{^3}王様デス。,We are the King of All Cosmos.,Nous sommes le Roi de tout le cosmos.,Wir sind der King of All Cosmos.,Noi siamo il Re del Cosmo.,Somos el Rey del Cosmos.
KG_C_ET1_009,王様,王様、{^3}オナカスイタ。,We are hungry.,Nous avons faim.,Wir haben Hunger.,Abbiamo fame.,Tenemos hambre.
KG_C_ET1_010,王様,王様、{^3}ネムイ。,We are sleepy.,Nous sommes fatigués.,Wir sind müde.,Abbiamo sonno.,Tenemos sueño.
KG_C_ET1_011,王様,王様、{^3}ピクニック気分。,We feel like a picnic.,Nous avons envie d'un pique-nique.,Uns steht der Sinn nach Picknick.,Abbiamo voglia di fare un picnic.,Tenemos ganas de un picnic.
KG_C_ET1_012,王様,ウゲ、{^6}ニックダ。,"Aack,{^6} it's Nik.","Ahhh,{^6} c'est Nik.","Ach, {^6}das ist Nik.","Argh,{^6} è Nik.","Argh,{^6} es Nik."
KG_C_ET1_013,王様,「クイシンボウ」ハ\nカワイイト思ッテルデショ？,"You think it's cute to\nstuff your face, don't you?",Vous pensez que c'est mignon de\nfarcir votre tête ?,"Glaubst du, es ist niedlich,\nsich so viel Essen in den Mund zu stopfen?",Trovi divertente\ningozzarti?,¿A ti te parece bonito\natiborrarte como lo haces?
KG_C_ET1_014,王様,気持チワルイ。,How disturbing.,C'est troublant.,Wie merkwürdig.,Assolutamente inquietante.,Inquietante.
KG_C_ET2_001,王様,エターナルナンダカラ\n目標ナンテ無イヨ！,"This is Eternal,{^6} so there's\nno such thing as an objective!","C'est le mode Éternel,{^6} il n'y a\ndonc pas d'objectif !",Das ist die Ewigkeit. {^6}Hier gibt es\nso etwas wie Ziele nicht.,"Qui siamo nell'Infinito,{^6} quindi\nnon esistono obiettivi!","Esto es la Eternidad,{^6} ¡aquí no hay\nobjetivos que valgan!"
KG_C_ET2_002,王様,ヘロヘロアソベバイイジャナイ。,Just toodle around and play.,Baladez-vous et jouez.,Toll einfach herum und spiel.,Divertiti a rotolare in giro.,Déjate de historias y juega.
KG_C_ET2_003,王様,時間モ大キサモ忘レチャッテサ。,Who cares about time or size?,On s'en fiche du temps et de la taille.,Wen kümmern schon Zeit und Größe?,Non preoccuparti di tempo e dimensioni.,¿Qué más da el tiempo o el tamaño?
KG_C_ET2_004,王様,ソンナコトヨリ王様タイクツ。,"But anyway, We are just so bored.","Bref, Nous Nous ennuyons vraiment.","Egal, wir sind einfach gelangweilt.","Comunque sia, ci annoiamo molto.","En cualquier caso, nos morimos\ndel aburrimiento."
KG_C_ET2_005,王様,ソンナコトヨリ王様カエリタイ。,"But anyway, We want to go home.","Bref, Nous voulons rentrer chez nous.","Egal, wir wollen nach Hause gehen.","Comunque sia, vogliamo andare a casa.","En cualquier caso, queremos irnos\na casa."
KG_C_ET2_006,王様,ソンナコトヨリ王様ネツッポイ。,"But anyway, We feel a \ntemperature coming on.","Bref, Nous sentons \nla température monter.","Egal, wir glauben,\nwir bekommen etwas Fieber.","Comunque sia, sentiamo che\nci sta venendo la febbre.","En cualquier caso, presentimos que\nnos va a subir la fiebre."
KG_C_ET2_007,王様,王様、{^3}サーフィンハジメヨウカナ。,"Maybe We'll start surfing.\nLike,{^4} gnarly, and so forth.","Nous allons peut-être aller surfer.\nGenre,{^4} génial et cetera.",Vielleicht fangen wir an zu surfen.\n{^4}Ist ja krass und angesagt.,Magari inizieremo a fare surf.\nCosì{^4} saremo fichi.,"Podríamos empezar a surfear.\nSerá,{^4} cuando menos, sensacional."
KG_C_ET2_008,王様,王様、{^3}今日モゲンキデス。,We are having yet another fine day.,Nous passons encore une belle journée.,Wir verleben einen weiteren wundervollen Tag.,È un'altra bella giornata.,Hoy es otro gran día.
KG_C_ET2_009,王様,王様、{^3}ヒヤケサロンニ行コウカナ。,Maybe We'll go to a tanning salon.,Nous allons peut-être aller au salon de bronzage.,Vielleicht gehen wir ins Sonnenstudio.,Magari andremo al centro estetico.,Podríamos ir a un salón de bronceado.
KG_C_ET2_010,王様,王様、{^3}ソロソロアキチャッタ。,We feel boredom coming on.,Nous sentons l'ennui poindre.,Irgendwie ist uns langweilig.,Sentiamo la noia salire.,El hastío nos invade.
KG_C_ET2_011,王様,アラ？{^6}ジュン？,Oh?{^6} Was that June?,Oh ?{^6} Est-ce que c'était June ?,"Ach, {^6}war das etwa June?",Oh?{^6} Non era June?,¿Oh?{^6} ¿No era June?
KG_C_ET2_012,王様,ミズタマフエテナイ？,Are your polka dots multiplying?,Est-ce que vos pois se multiplient ?,Vervielfältigen sich deine Tupfer?,Sbagliamo o i tuoi pois stanno aumentando?,¿Se te han reproducido los lunares?
KG_C_ET2_013,王様,気持チワルイ。,How disturbing.,C'est troublant.,Wie merkwürdig.,Incredibilmente inquietante.,Inquietante.
KG_C_ET3_001,王様,エターナルナンダカラ\n目標ナンテ無イデショ！,"This is Eternal,{^6} so there's\nno such thing as an objective!","C'est le mode Éternel,{^6} il n'y a\ndonc pas d'objectif !",Das ist die Ewigkeit. {^6}Hier gibt es\nso etwas wie Ziele nicht.,"Qui siamo nell'Infinito,{^6} quindi\nnon esistono obiettivi!","Esto es la Eternidad,{^6} ¡aquí no hay\nobjetivos que valgan!"
KG_C_ET3_002,王様,テロテロアソベバイイジャナイ。,Just toodle around and play.,Baladez-vous et jouez.,Toll einfach herum und spiel.,Divertiti a rotolare in giro.,Déjate de historias y juega.
KG_C_ET3_003,王様,時間モ大キサモ忘レチャイナヨ。,Who cares about time or size?,On s'en fiche du temps et de la taille.,Wen kümmern schon Zeit und Größe?,Non preoccuparti di tempo e dimensioni.,¿Qué más da el tiempo o el tamaño?
KG_C_ET3_004,王様,ソンナコトヨリ王様オチャシタイ。,"But anyway, We would rather\ngo have some tea.","Bref, Nous préférerions\naller boire du thé.","Egal, wir hätten lieber\netwas Tee.","Comunque sia, preferiremmo\nbere del tè.","En cualquier caso, preferiríamos\nir a tomar té."
