englishName,monoNameIndex,pickupSize,volume,volumeRate,pickupVolumePenalty,pickupVolume,alpha,price,sort,targetCode,targetCount,parentCode,category,categoryForRank,size,isRare,semi,ride,scissor,shadow,unit,catchCountType,cowType,scream,anim,dummyHit,roll,noCrash,human,escape,matrixType,goldStar,voidMdl,wndDispPrio,diResultSnap,diThrough,thin,countStyle,creator,version
Japanese Cup and Ball,15,250,0.0006559602916,0.6999999881,0.8000000119,0.0005247682411,1,0,11,0,1,0,16,16,2,0,0,0,1,0,19,1,0,59904,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Fried Shrimp,16,149,0.0001388879027,0.6000000238,0.8000000119,0.0001111103238,1,0,34,0,1,0,3,3,1,0,0,0,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Spoon,17,81,7.78E-05,0.6999999881,0.8000000119,0.00006221901369,1,0,28,0,1,0,7,7,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fork,18,76,1.85E-05,0.6999999881,0.8000000119,0.00001477519276,1,0,27,0,1,0,7,7,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Baseball,19,199,0.0003319140524,0.6999999881,0.8000000119,0.0002655312459,1,0,15,0,1,0,14,14,1,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dustpan,20,342,0.002903090091,0.6999999881,0.8000000119,0.002322472108,1,300,12,0,1,0,8,8,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Canned Peaches,21,343,0.0007429852267,1,0.6000000238,0.0004457911537,1,0,30,0,1,0,2,2,2,0,0,0,0,0,19,1,0,58880,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Light Bulb,22,208,0.0003794545191,0.6999999881,0.8000000119,0.0003035636198,1,0,10,0,1,0,34,34,2,0,1,0,0,0,19,1,0,54528,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calculator,23,140,0.0001151999459,1,0.8000000119,0.00009215995807,1,0,12,0,1,0,22,22,1,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Telephone Book,24,506,0.00545160193,1,0.8000000119,0.004361281609,1,0,34,0,1,0,10,10,3,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mousetrap,25,195,0,0.6999999881,0.8000000119,0,1,0,9999,0,1,0,0,0,0,0,0,0,0,0,19,0,0,49664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Year's Cards,26,294,0.001391207916,1,0.8000000119,0.001112966349,1,0,16,0,50,0,24,24,2,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Welcome Mat,27,551,0.007039998658,1,0.8000000119,0.00563199901,1,1500,15,0,1,0,55,55,3,0,0,0,0,0,9,1,0,46336,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Cinder Block ',28,678,0.001631999738,2,0.1000000015,0.0001631999762,1,0,12,0,1,0,57,57,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wooden Bench,29,1921,0.2972293794,0.6999999881,0.8000000119,0.2377835071,1,8000,32,0,1,0,37,37,5,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barber's Pole,30,1725,0.2153809518,0.6999999881,0.8000000119,0.172304764,1,0,11,0,1,0,61,61,5,1,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bamboo Broom,31,908,0.03136090189,0.6999999881,0.8000000119,0.02508872189,1,400,15,0,1,0,8,8,4,0,0,0,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Store Dustpan,32,802,0.02167117968,0.6999999881,0.8000000119,0.017336944,1,1000,13,0,1,0,8,8,4,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home Mailbox,33,665,0.01231999882,1,0.8000000119,0.009855999199,1,4000,17,0,1,0,24,24,3,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Iron,34,438,0.00353405159,0.6999999881,0.8000000119,0.002827241314,1,3700,21,0,1,0,22,22,3,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Machine,35,681,0.01328540128,0.6999999881,0.8000000119,0.01062832118,1,777,14,0,1,0,44,44,3,0,0,0,0,0,19,1,0,50176,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Old Newspaper,36,709,0.01496879756,1,0.8000000119,0.01197503823,1,10,26,0,50,0,8,8,3,0,0,0,1,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Trash Bag,37,1261,0.04199999198,0.6999999881,0.400000006,0.01679999704,1,1,28,0,1,0,8,8,4,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dog Food Bowl,38,304,0.001177145867,0.6999999881,0.8000000119,0.0009417167074,1,0,70,0,1,0,7,7,2,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flowerpots,39,942,0.01756159961,0.6999999881,0.400000006,0.00702463995,1,2800,13,0,8,0,26,26,4,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ping Pong Ball,40,94,3.58E-05,0.6999999881,0.8000000119,0.00002867199407,1,0,12,0,1,0,14,14,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Turtle Egg,41,199,0.0002941589337,0.6999999881,0.5099999905,0.0001500210534,1,0,9999,0,1,0,0,78,0,0,0,0,0,0,19,0,0,50432,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Film,42,95,3.63E-05,0.6999999881,0.8000000119,0.00002900172301,1,0,30,0,1,0,20,20,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Mosquito Zapper,43,168,0.0002004540147,0.6999999881,0.8000000119,0.0001603632142,1,0,22,0,1,0,30,30,1,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zapper Refill,44,30,1.17E-06,0.6999999881,0.8000000119,0.0000009329160232,1,0,21,0,1,0,30,30,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Champion Burger,45,372,0.01539797243,1,0.6000000238,0.009238783824,1,300,13,0,1,0,3,3,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cat-repelling Bottle,46,341,0.001039499883,0.6999999881,0.5,0.0005197499413,1,0,17,0,1,0,18,18,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Compass,47,71,1.52E-05,0.6999999881,0.8000000119,0.00001218522684,1,0,12,0,1,0,32,32,1,0,0,1,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Large Milk Carton,48,176,0.0002291327401,1,0.8000000119,0.0001833061948,1,0,24,0,1,0,6,6,1,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0
Glasses,49,93,8.58E-05,0.6999999881,0.6000000238,0.00005148454134,1,0,12,0,1,0,12,12,1,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Diamond,50,73,1.27E-05,0.6999999881,0.6000000238,0.000007593919992,1,700000,15,0,1,0,33,33,1,1,0,0,1,0,19,1,0,55552,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Onyx,51,73,1.27E-05,0.6999999881,0.6000000238,0.000007593919992,1,400000,16,0,1,0,33,33,1,0,0,0,1,0,19,1,0,55552,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ruby,52,73,1.27E-05,0.6999999881,0.6000000238,0.000007593919992,1,500000,17,0,1,0,33,33,1,0,0,0,1,0,19,1,0,55552,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Emerald,53,73,1.27E-05,0.6999999881,0.6000000238,0.000007593919992,1,600000,18,0,1,0,33,33,1,0,0,0,1,0,19,1,0,55552,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Clapper Board,54,261,0.0007526415866,0.6999999881,0.8000000119,0.0006021132782,1,0,13,0,1,0,42,42,2,0,0,0,0,0,19,1,0,50432,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ladle,55,283,0.0008360575303,0.6999999881,0.6999999881,0.0005852402612,1,0,57,0,1,0,7,7,2,0,0,0,1,0,6,1,0,59392,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oden,56,207,0.002987441141,0.6999999881,0.8000000119,0.002389952949,1,300,11,0,1,0,5,5,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Toast,57,190,0.0001800001628,1,0.5,0.0000900000814,1,40,20,0,1,0,3,3,1,0,0,0,1,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bread Loaf,58,227,0.0003695895139,0.6999999881,0.6000000238,0.0002217537171,1,0,18,0,1,0,3,3,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Jumboman Red Mask,59,440,0.00224265689,0.6999999881,0.5,0.001121328445,1,0,14,0,1,0,47,47,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Match Box,60,91,1.56E-05,1,0.6000000238,0.000009375680756,1,0,24,0,1,0,20,20,1,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fox Mask,61,392,0.001587599865,0.6999999881,0.5,0.0007937999326,1,0,16,0,1,0,44,44,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Noh Mask,62,246,0.0003920000745,0.6999999881,0.5,0.0001960000372,1,120000,15,0,1,0,43,43,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hyottoko Mask,63,277,0.0005620825686,0.5,0.5,0.0002810412843,1,200,17,0,1,0,44,44,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Red Oni Mask,64,274,0.0009663564269,0.6000000238,0.5,0.0004831782135,1,0,20,0,1,0,46,46,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jumboman Blue Mask,65,440,0.00224265689,0.6999999881,0.5,0.001121328445,1,0,15,0,1,0,47,47,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jumboman Yellow Mask,66,440,0,0.6999999881,0.5,0,1,0,16,0,1,0,47,47,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Police ID,67,201,0.0003680965747,0.6999999881,0.5,0.0001840482873,1,0,12,0,1,0,31,31,2,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blackboard Eraser,68,162,4.77E-05,0.6999999881,0.5,0.00002382687489,1,0,26,0,1,0,48,48,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wooden Gavel,69,252,0.0004199999385,0.6999999881,0.5,0.0002099999692,1,600,9999,0,1,863,29,29,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hammer,70,252,0.0009311462054,0.6999999881,0.5,0.0004655731027,1,1300,9999,0,1,863,29,29,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wrench,71,169,0.0001695693791,0.6999999881,0.5,0.00008478468953,1,0,9999,0,1,863,29,29,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Philips Head,72,144,7.87E-05,0.6999999881,0.5,0.00003937499787,1,0,9999,0,1,863,29,29,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Flat Head,73,144,7.87E-05,0.6999999881,0.5,0.00003937499787,1,0,9999,0,1,863,29,29,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shuriken,74,122,4.80E-05,0.6999999881,0.5,0.00002400999983,1,0,11,0,1,0,38,38,1,0,0,0,1,0,9,1,0,59136,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuna Sushi,75,98,2.48E-05,1,0.5,0.00001237500146,1,100,21,0,1,0,5,5,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Squid Sushi,76,98,2.48E-05,1,0.5,0.00001237500146,1,100,22,0,1,0,5,5,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tuna Sushi,77,98,2.48E-05,1,0.5,0.00001237500146,1,500,23,0,1,0,5,5,1,1,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Egg Sushi,78,98,2.48E-05,1,0.5,0.00001237500146,1,100,24,0,1,0,5,5,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Octopus Sushi,79,98,2.48E-05,1,0.5,0.00001237500146,1,100,25,0,1,0,5,5,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Shrimp Sushi,80,99,2.18E-05,0.6999999881,0.5,0.00001089375019,1,100,26,0,1,0,5,5,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Calligraphy,81,485,0,5,0.1599999964,0,1,0,9999,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Paperweight,82,88,1.85E-05,0.6999999881,0.5,0.00000922739855,1,0,43,0,1,0,11,11,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
India Ink,83,217,0.0002969893685,0.6999999881,0.6000000238,0.0001781936282,1,0,44,0,1,0,11,11,2,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Inkstone,84,200,0.0002519999689,0.6999999881,0.6000000238,0.0001511999873,1,0,51,0,1,0,11,11,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Horsetail,85,53,6.45E-06,0.6999999881,0.8000000119,0.000005157073324,1,0,23,0,1,0,63,63,1,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Microphone,86,254,0.0004362251493,0.6999999881,0.8000000119,0.0003489801247,1,1800,20,0,1,0,28,28,2,0,0,0,0,0,6,1,0,50688,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Quail Egg,87,80,2.19E-05,0.6999999881,0.8000000119,0.0000175150987,1,0,9999,0,1,0,0,79,0,0,0,0,0,0,19,0,0,49920,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Chicken Egg,88,136,0.0002326558315,0.6999999881,0.8000000119,0.000186124668,1,0,9999,0,1,0,0,79,0,0,0,0,0,0,19,0,0,49920,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Ostrich Egg,89,603,0.009190352634,0.6999999881,0.8000000119,0.007352282216,1,0,9999,0,1,0,0,79,0,0,0,0,1,0,19,0,0,49920,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Steamed Bun,90,229,0.001706625801,0.6999999881,0.8000000119,0.001365300661,1,0,50,0,1,0,3,3,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Police Club,91,244,0.000615383382,0.6999999881,0.8000000119,0.0004923067129,1,1700,13,0,1,0,31,31,2,0,0,0,1,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hamburger,92,202,0.0008900553803,0.6999999881,0.5,0.0004450276901,1,100,13,0,1,0,3,3,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Drink,93,217,0.0008852544124,0.6999999881,0.5,0.0004426272062,1,190,11,0,1,0,6,6,2,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Fried Chicken,94,214,0.0004435979063,0.6999999881,0.5,0.0002217989531,1,0,23,0,1,0,3,3,2,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bullhorn,95,383,0.002366049681,0.6999999881,0.8000000119,0.001892839773,1,500,11,0,1,0,28,28,2,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Antenna,96,1147,0.2137511075,0.6000000238,0.8000000119,0.1710008885,1,0,46,0,1,0,22,22,4,0,0,0,1,0,6,1,0,52992,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Watercolor,97,442,0.002727274783,1,0.6000000238,0.001636364935,1,300000,13,0,1,0,41,41,3,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shopping Basket,98,796,0.01587599702,0.6999999881,0.6000000238,0.009525598592,1,800,30,0,1,0,18,18,3,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shopping Cart,99,1456,0.113341555,0.6999999881,0.6999999881,0.07933908715,1,7000,22,0,1,0,65,65,4,0,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Briefcase,100,558,0.007277759258,0.6999999881,0.8000000119,0.005822207493,1,10000,11,0,1,0,25,25,3,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Portfolio,101,597,0.008937600069,0.6999999881,0.8000000119,0.007150080162,1,6000,14,0,1,0,25,25,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dried Squid,102,174,0.0002239116584,0.6999999881,0.8000000119,0.0001791293294,1,170,51,0,1,0,4,4,1,0,0,0,1,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Scarecrow,103,2462,0.6251119375,0.6000000238,0.8000000119,0.5000895575,1,1000,15,0,1,0,51,51,5,0,0,0,1,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Picture-story Show,104,639,0.01096202619,0.6999999881,0.8000000119,0.008769621086,1,0,50,0,1,0,16,16,3,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kendo Mask,105,757,0.01817578822,0.6999999881,0.8000000119,0.0145406308,1,0,11,0,1,0,14,14,3,0,0,0,0,0,19,1,0,50944,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bamboo Sword,106,420,0.003117699176,0.6999999881,0.8000000119,0.002494159378,1,2500,15,0,1,0,38,38,3,0,0,0,1,0,6,1,0,50944,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barrel,107,1608,0.174227342,0.6999999881,0.8000000119,0.1393818757,1,0,41,0,1,0,18,18,5,0,0,0,0,0,19,1,0,59904,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Organ,108,1778,0.2354939729,0.6999999881,0.8000000119,0.1883951811,1,150000,37,0,1,0,13,13,5,0,0,0,1,0,4,1,0,49664,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Christmas Tree,109,2037,0.3543244004,0.6999999881,0.8000000119,0.2834595246,1,0,9999,0,1,1466,19,19,5,0,0,0,0,0,6,1,0,51968,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boot,110,177,0.0002324595844,0.6999999881,0.8000000119,0.0001859676703,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
House,111,162,0.0001804687199,0.6999999881,0.8000000119,0.0001443749781,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Santa Claus,112,176,0.0002296019811,0.400000006,0.8000000119,0.0001836815876,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Star,113,179,0.0002404054976,0.6999999881,0.8000000119,0.000192324401,1,0,9999,0,1,1466,19,19,1,1,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Traffic Dummy,114,2214,0.4551248848,0.6999999881,0.8000000119,0.3640999133,1,0,18,0,1,0,31,31,5,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blue Ornament,115,109,5.45E-05,0.6999999881,0.8000000119,0.0000436065143,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Red Ornament,116,109,5.45E-05,0.6999999881,0.8000000119,0.0000436065143,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Gold Ornament,117,109,5.45E-05,0.6999999881,0.8000000119,0.0000436065143,1,0,9999,0,1,1466,19,19,1,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Snowflake,118,42,3.10E-06,0.6999999881,0.8000000119,0.000002483067911,1,0,9999,0,1,1466,19,19,0,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
Top,119,917,0.02424723469,0.6999999881,0.6000000238,0.01454834139,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2nd Step,120,834,0.01825630851,0.6999999881,0.6000000238,0.01095378554,1,4980,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3rd Step,121,845,0.01897842064,0.6999999881,0.6000000238,0.01138705284,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4th Step,122,819,0.01729202829,0.6999999881,0.6000000238,0.01037521739,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5th Step,123,842,0.0187687315,0.6999999881,0.6000000238,0.01126123935,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6th Step,124,863,0.02024543099,0.6999999881,0.6000000238,0.01214725908,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7th Step,125,884,0.02172211185,0.6999999881,0.6000000238,0.01303326763,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8th Step,126,903,0.02319880202,0.6999999881,0.6000000238,0.01391928177,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9th Step,127,922,0.02467548847,0.6999999881,0.6000000238,0.01480529367,1,0,9999,0,1,1467,48,48,4,0,0,0,0,0,19,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
